Account,Account State,Account Usage State,Roles
readonly,UNLOCKED,ACTIVE,CscfApplicationOperator
readonly,UNLOCKED,ACTIVE,SystemReadOnly
oss_pm,UNLOCKED,ACTIVE,Mtas_Application_Operator_OSSUser
netconf2,UNLOCKED,ACTIVE,SystemTroubleshooter
netconf2,UNLOCKED,ACTIVE,CscfApplicationOperator
netconf2,UNLOCKED,ACTIVE,SystemSecurityAdministrator
netconf2,UNLOCKED,ACTIVE,CscfApplicationAdministrator
netconf2,UNLOCKED,ACTIVE,CscfApplicationSecurityAdministrator
netconf2,UNLOCKED,ACTIVE,LocalAuthenticationAdministrator
netconf2,UNLOCKED,ACTIVE,SystemAdministrator
netconf,UNLOCKED,ACTIVE,SystemTroubleshooter
netconf,UNLOCKED,ACTIVE,CscfApplicationOperator
netconf,UNLOCKED,ACTIVE,SystemSecurityAdministrator
netconf,UNLOCKED,ACTIVE,CscfApplicationAdministrator
netconf,UNLOCKED,ACTIVE,CscfApplicationSecurityAdministrator
netconf,UNLOCKED,ACTIVE,LocalAuthenticationAdministrator
netconf,UNLOCKED,ACTIVE,SystemAdministrator
feiliu,LOCKED,DORMANT,CscfApplicationOperator
feiliu,LOCKED,DORMANT,CscfApplicationAdministrator
feiliu,LOCKED,DORMANT,CscfApplicationSecurityAdministrator
feiliu,LOCKED,DORMANT,SystemTroubleshooter
feiliu,LOCKED,DORMANT,SystemSecurityAdministrator
feiliu,LOCKED,DORMANT,LocalAuthenticationAdministrator
feiliu,LOCKED,DORMANT,SystemAdministrator
enm_user,LOCKED,DORMANT,SystemTroubleshooter
enm_user,LOCKED,DORMANT,CscfApplicationOperator
enm_user,LOCKED,DORMANT,SystemSecurityAdministrator
enm_user,LOCKED,DORMANT,CscfApplicationAdministrator
enm_user,LOCKED,DORMANT,CscfApplicationSecurityAdministrator
enm_user,LOCKED,DORMANT,LocalAuthenticationAdministrator
enm_user,LOCKED,DORMANT,SystemAdministrator
ATP_TEST_User,LOCKED,DORMANT,CscfApplicationOperator
admin,UNLOCKED,ACTIVE,CscfApplicationAdministrator
admin,UNLOCKED,ACTIVE,CscfApplicationOperator
admin,UNLOCKED,ACTIVE,CscfApplicationSecurityAdministrator
admin,UNLOCKED,ACTIVE,LocalAuthenticationAdministrator
admin,UNLOCKED,ACTIVE,Self
admin,UNLOCKED,ACTIVE,SystemAdministrator
admin,UNLOCKED,ACTIVE,SystemReadOnly
admin,UNLOCKED,ACTIVE,SystemSecurityAdministrator
admin,UNLOCKED,ACTIVE,SystemTroubleshooter
